Date,WUNG.DE^C07,MDG1K.DE,VIAG.DE^F00,EVKN.DE,DWSG.DE,VOWG_P.DE,CU1G.DE^H17,BUDG.F^H04,HBHG_P.DE^J15,ACWNN.DE,IVGG.DE^C14,CGYGK.DE^D14,RHMG_P.F^F05,SW1.DE^D21,FIEG.DE,SIEGN.DE,REAG.F^D97,CEWGN.DE^E06,LHAG.DE,BDTG.DE,KUMG.DE^G07,KPHG.DE^E11,BMSB.DE^C17,EHLG_P.DE^I08,HOTG.DE,VOSG.F,DEXGN.DE,RHKG_P.F^I05,BNRGN.DE,FREG.DE,JUNG_P.DE,FTKN.DE,GMBG.DE^E11,1U1.DE,DAIG.DE^L98,DSKK.DE^J14,KCOGN.DE,QH9.DE,VIBG_P.DE,MVVGN.DE,DPBGN.DE^L15,KU2G.F^K22,ZPFKK.DE^A15,PPAG.DE^E11,CWCG.DE,PUMG.F,SAPG_P.DE^F01,BOSG_P.F^F12,BOHG.DE^B15,EVDG.DE,EVTG.DE,YOUG.DE,GADG_P.DE^A03,RHMG.DE,KIEG.F^H02,BAYGN.DE,RHMG.F,BVB.DE,ZALG.DE,SNCG_P.DE^E11,LEIG.F,HYMG.DE^E11,ISRG.DE^E21,DRWG_P.DE,MZXG.DE,MORG.DE,OARG.DE^H07,KWSG.DE,O2DN.DE,USEG.DE^H18,R8RG.DE^L11,VFMG.DE^C04,WING.DE^E19,BMSA.DE^E17,FRAG.DE,TPNG.DE^J17,FMEG.DE,OSRN.DE^G21,GERG.F^G03,QIA.DE,KBCG.DE^H17,NEKG.DE,IKBG.F^D16,PLTG.DE^L04,ERGG.F^G10,DB1GNE.DE^B12,NLVGN.DE,VESGN.DE^E11,DEQGN.F,LPKG.DE,ETVG.DE^D04,DLGS.DE^I21,SMLG.F^L02,BHWH.F^B08,MKANN.DE^H14,RUEG.F^H03,GKRG.DE^E11,RILGK.DE^E11,MXHNN.DE,WAFGN.DE,STBGN.F^A18,HG1G.DE^H15,EING_P.DE,BRGG.F^I03,DEZG.DE,HBMG.F^C22,TMV.DE,SCHG.DE^I08,MOBG.DE^C07,H24.DE^I23,GWD.DE^E20,SOWGN.DE,DB11.DE^D17,GROG_P.F^D00,SBSG.DE,SCUG_P.DE^F08,BOSSN.DE,KRNG_P.F^G04,SHBG.DE^J03,LIN.DE,HOZG.F^D21,SPRGN.DE^D20,UZU.DE,ADVVV.DE^G22,JENGN.DE,HAHG_P.DE^A05,AAHG.DE^E11,G1AG.DE,PSHG_P.F,SAUG.DE^E11,ADSGN.DE,LOEKK.DE^F14,HORG.F^K02,GMEG.DE,MWBG.DE^F09,IKBG.DE^A12,MLPG_P.F^I01,S92G.DE,IOSN.DE,AAGG.DE,SMWN.DE,SAPG.DE,PWAG.F^F13,BYWGNX.DE,CLSGN.F^D17,TATL.DE^H08,MHNTQ.DE^G07,HDDG.DE,SAPG_P.F^F01,TURG.DE^E11,MUVGN.F,TEGG.DE,COKG.DE,VOWG.DE,APPG.DE^J03,CBKG.DE,HNRGN.DE,BUBG_P.DE^F05,ALTG.DE^H10,HOTG.F,MWAG.DE^I10,ALVG.DE,SNGGK.DE,TELP.DE^A12,GFKG.DE^J17,SCMM.DE^A14,MLPG.DE,DSLG.F^J04,ADCG.DE^E11,DOHG.F^G13,GPCG.DE^K09,DHER.DE,NSNG.DE^E11,RRTL.DE,RWDG.DE^L10,LING.DE^D19,RWEG.DE,BHWG.DE^I98,FRU.DE,KAEG.DE^E11,QBYN.DE,TGMG.DE^C12,SMHNN.DE,ES6G.DE^I09,WCAGE.F^J99,HAWG.DE,HHFGN.DE,WATG.DE^L05,TKAG.DE,GIBG.DE^G14,DB1GN.DE,DRSDN.DE^G02,IDRG.DE^L10,HVMG.DE^I08,SDFGN.DE,AEGG.F^I96,ZO1G.DE^A22,KJDG.DE^J05,ELGG.DE,VAR1.DE,CLSGN.DE^D17,WUWGN.DE,STAGN.DE^K18,DHLN.DE,AROG.DE^C18,AFXG.DE,BASFN.DE,GANG_P.DE^E11,DGXG.DE^I06,MAKG.DE,PSMGN.F,WDOG.DE^G05,DBANN.DE,HLGZ.DE,XMYG.DE^A19,DWNG.DE,KPHG.F^G20,LXSG.DE,PSHG_P.DE,ADVG.DE,SAXG.DE,BHFG.F^H02,NCH2.DE,VARGK.F^K12,PUZG.DE^E11,SIXG.F,LMYG.F^B00,HFGG.DE,HLE.DE,DBCG.F^G01,DEPF.DE^J07,MHHG.DE^J16,YSNG.DE,CAGGK.DE^F17,GGS.DE^I23,AT1.DE,LNSX.F,SOOG.DE^C13,BRNKN.DE,NDXG.DE,AMBGN.F^H99,SBSG.F,BTBG.DE^H03,PS4G.DE^G18,TTIGN.DE^L20,ILM1K.DE,AOFG.DE,ADNGK.DE,CGLGN.DE^E11,MANG.DE^I21,BMWG.DE,WERG.F^L06,WADG_P.F^K07,CECG.DE,BIOG_P.DE,VVMGN.DE^F05,GBFG.F,RSL2.DE,BVHG.DE^K12,COLG.F^G07,VTWRN.DE^E23,SWVKK.DE^H17,HYQGN.DE,NA9N.DE,SHTG.DE^H11,BUSG.DE^F03,CONG.F,UTDI.DE,SATG_P.DE,ASKG.F^G96,ALTG.F^H10,CEVG.DE^A21,TESG.DE^B03,IGY.DE^F20,WEG2.DE^F15,SGCG.F,1SXP.DE,STM1.DE,GXIG.DE,PHRG.F^A07,IREG.DE^F13,JENGN.F,WMFG_P.DE^E11,KSBG_P.DE,KLKG.F^A11,NOEJ.DE,AHHG.DE^G10,SHLG.DE,ABXG.DE^E07,SNHG.DE^E22,QCEG.DE^J12,PATG.DE^L06,VT9G.DE^D19,DSJG.DE^F10,BIEG.DE^E11,SNSG.DE^E03,EPCGN.DE^J09,VTSCN.DE,SZUG.DE,2HR.DE,IXSG.DE^G05,IYPGN.DE^E11,PMOX.DE^L16,WAFG.F^H98,GFJG.DE^K15,WSUG.DE,SPZNNK.DE^C12,BZLG.DE^J09,ZILGN.DE,PSAGN.DE,TAGG.DE^G06,HEZG.F^L17,KU2G.DE^K22,HEIG.F,DBKGN.DE,WIGGK.DE,DTGGE.DE,FELG.F^K05,HEZG.DE^E11,HKLG.DE^I04,GILG.DE,FNGG.DE^E11,DRNG.DE^G15,GE1G.DE^E14,VVAG.DE^F06,VIBG_P.F,BC8G.DE,EDHG.DE^C04,2INVN.DE,F3CG.DE,EUCAN.DE^A20,PSMGN.DE,TUI1N.DE,TTKG.DE,KCPGN.DE^H08,EEXG.DE^J14,JUNG_P.F,STOG_P.DE,SFQ.DE,GOZGN.F^G07,GWI2K.DE^L23,SUSEG.DE^K23,BBAG.DE^J05,GBFG.DE,KLKG.DE^A11,IFXGN.DE,HDDG.F,TGHN.DE,BFSA.DE,CRNG_P.DE^E11,KD8GN.DE^D16,SHFG.DE,WEW.DE,HRXG.DE^J09,S4AAN.DE,PUMG.DE,BIONN.DE,FREG_P.DE^A11,EUBG.DE^B05,AVAG.DE^B06,REHG.F^J02,KFSG.F^B03,PBBG.DE,AIXC.DE^L16,WCMG.DE^E11,KPGG.DE^J07,SGCG.DE,KRNG.DE,TNHG.DE^C09,PNEGN.DE,TPEG.DE,AIXGN.DE,EUZG.DE,WDIG.DE^A21,HBMG.DE^C22,GLJN.DE,FIEG.F,O2C.DE^H23,WDBG.DE^E10,HBHG_P.F^J15,HBH.DE,LITG.F^D98,VNAN.DE,GSC1N.DE,G24N.DE,AMDG.DE,KGX.DE,SZUG_P.F^I01,WEG1.DE^C21,CCFG.DE^E11,LEGN.DE,SM7.DE^E13,TLXGN.DE,DIDG.F^H10,BSLG.DE,CTNG.DE^F13,DAMG.DE,FMEG.F,HXCKK.DE,MUVGN.DE,LEIG.DE,DPFG.F^B05,DOSG.DE^H07,COP1N.DE,BKLG.F^J03,KFHG.IB^G96,1COV.DE,SDFGN.F,ADSGN.F,HAGG.DE,DLWG.F^A06,HLAG.DE,VTWGN.DE^C12,FPE3_P.DE,BEZG_P.DE^I15,AIRG.DE,BLMG.DE,SZGG.DE,SKWG.F^B01,CZZG.DE^A07,LIN1.DE^J18,SPAG_P.F^D05,SRZG.DE^H09,VEWG.F^K00,KAMG.DE^D04,SYAB.DE,EHXG.DE^H14,CONG.DE,EV4G.DE^I19,NIXG_P.F^E92,GFG.DE,KPGG.F^J07,DUEG.F,TIMAN.DE,AVAG.F^B06,CDBG.DE^K20,SY1G.DE,VBKG.DE,RPWGN.DE^K11,TLGG.DE^L21,AOXG.DE,ATSV.DE^E11,DEQGN.DE,HEIG.DE,VBHKK.DE^I16,KKFG.DE^E11,DCTG.DE^A13,ADJ.DE,CEAG.DE,VOEG_P.DE^H09,MASN.DE^J16,AHZG.DE^E11,FKHG.F^D99,PMMG.DE^A12,MDNG.DE,VOSG.DE,ECVG.DE,CAGG.DE^A11,INHG.DE,AB1.DE^G18,AM3D.DE^H23,WETG.DE^E11,TLIK.DE,HABAN.DE,RIB.DE^D21,ENR1N.DE,D9CGN.DE^F12,MAVG.DE^E11,BHWH.DE^B08,SKYDN.DE^I15,BEIG.DE,TWNG.DE^J10,8TRA.DE,CMBGN.DE^J12,DYKG_P.F^H13,BBAG.F^J05,BMMG.DE^D16,DUEG.DE,SAMG.F^A03,M5ZG.DE,ADLG.DE^J23,SKBG.DE,DTEGN.DE,FNTGN.DE,FEWG.DE^C13,TSSG.DE^L03,G1AG.F,P911_P.DE,NAFG.DE,DAIGA.DE^K98,BBXG.DE^G08,DMPG.DE,CE2G.DE,MUXG.DE,PHRG.DE^A07,DE1N.DE^K15,SLTG.DE^L21,TAGG.F^G06,MBGN.DE,NWON.DE,FRNG.DE^C07,AGIG.DE^E11,ACGG.DE^D11,WIN1.DE^H16,EONGN.DE,EIHG.DE^E11,HNKG_P.DE,PFDGN.DE^K12,SURG.DE,MRCG.F,PLTG.F^L04,DDEG.DE^F08,AG1G.DE,KTN.DE,ESCG_P.F^J02,MTXGN.DE,AFIG.F^G07,EKTG.DE,KSBG_P.F,DEZG.F,SCUGE.DE^J14,PATGN.DE,SGSG.DE^E11,SKBG_P.DE^L01,GEBG.DE^E11,SHA_P.DE,RDC.DE,DBVG.F^D09,GFTG.DE,GYC.DE,LEOGN.DE^H23,KBUG.DE^J16,BVUG.F^F06,MRCG.DE,ARTG.DE,MSGL.DE^C17,AFIG.DE^G07,KBX.DE,WACGN.DE,VOVG.F^I03,VDFGN.DE^H02,TOIGN.DE^G06,BSYG.DE^E11,UN0K.DE,AUTG.DE^J08,MKSG.F^H11,JST.DE,GFJ1.DE^B15,FREG_P.F^A11,RHKG.DE,RSTI.DE^K16,HNLG.DE,CCAG.DE,ECKG.DE,ARLN.DE^K23,MPCKK.DE,MLPG_P.DE^I01,B4B.DE,PRAG.DE^B17,MEDG.DE,PV.DE,HOZG.DE^E11,ESCG.DE^A11,SIXG.DE,T3CGN.DE^E11,INS2.DE,AWDG.DE^K09,MEDN.DE^A10,B5AG.DE^F23,DBCG.DE^G01,VIVG.DE^F14,BEIG.F,HSTG.DE^G06,IVGG.F^H14,WCHG.DE,TC1N.DE^I21,DYKG_P.DE^I13,SK1GN.DE^A19,HNRGN.F,SSIG.DE^F07,RKET.DE^K20,BEBG.F^I13,PWO.DE,GMMG.DE,WCMKK.DE,GEAG_P.F^E05,RAAG.DE,HOEG.DE^G05
2003-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
