Portfolio,Excess Return,Excess Return t-stat,CAPM Alpha,CAPM Alpha t-stat,CAPM R²,Three Factor Alpha,Three Factor Alpha t-stat,Three Factor R²,Four Factor Alpha,Four Factor Alpha t-stat,Four Factor R²,Beta (Ex-Ante),Volatility,Sharpe Ratio
Return_0,0.01235315771110956,4.402385686765541,0.013555164422494888,4.634626776899343,0.015644871445964825,0.013953066783988749,4.8048770778353305,0.04444938187079572,0.013946549154634986,4.803905834994232,0.049006862678586116,0.8562516269543945,0.044544097953355545,0.9606793165711066
Return_1,0.013503558671271971,4.956968856775482,0.014862469344638043,5.2491766777893485,0.02121562053926751,0.015052973198541646,5.338265861044532,0.044042027281668394,0.015046558473653507,5.337755041574635,0.04872603180958546,1.6217168703639409,0.04324464295520625,1.0816992858910648
Return_2,0.01276831981874474,4.127334326514444,0.01459637994284638,4.559525710755794,0.029770817154391782,0.01487188757306476,4.674713679960321,0.0564766306961193,0.014866028592526568,4.670456198361976,0.059506620949810074,1.8270855323196398,0.04910937117478167,0.9006581890305725
Return_3,0.014002779949702867,4.406140717574077,0.015629223430272034,4.734360337261818,0.022330793737298404,0.01597170394810008,4.857578105334167,0.04498580271090158,0.015970348493565083,4.847243478942279,0.04513947070910573,2.0046234187102616,0.05044941927892814,0.9614987314719166
Return_4,0.014106227556188202,4.042526103315389,0.015820690255403308,4.36072814475781,0.02058154565677983,0.016175381845175696,4.497628694726294,0.052270297540013666,0.016169931047264025,4.491454217539352,0.05433154143809715,2.119473539714912,0.0553934383063381,0.8821515174894116
Return_5,0.014165087409716054,3.8761191883242807,0.016125499649818895,4.252663393221517,0.024535140497062402,0.016353056388501864,4.341776603130877,0.05228585981832745,0.0163507993512534,4.332697112364232,0.0526080842802682,2.299045704063199,0.058012610187773275,0.8458385515793717
Return_6,0.014624759920591023,3.7245994809660576,0.016540577508351896,4.051072556575818,0.02029681942510342,0.016868929576619947,4.153686663828789,0.045561468768120506,0.0168662274335371,4.145072726517935,0.0459615274281131,2.456431198054855,0.06233176683556735,0.8127742407104853
Return_7,0.013297544031532708,3.027199404924039,0.01528171943314861,3.340628811458995,0.01739551606758316,0.015606613523949266,3.425877817311926,0.040441386893075304,0.01560026363479302,3.4203608233785934,0.04220659860213105,2.6561010962027245,0.06973176824388864,0.6605890674661754
Return_8,0.011510282174725167,2.4729274877065133,0.013274670737986853,2.7315030173221695,0.012251162523815196,0.013679663923508459,2.826700046875847,0.035502872879346614,0.013675636491838035,2.820793169008508,0.03613533207451325,2.9833253661584958,0.07388816123212594,0.5396370190739083
Return_9,0.008885301034596367,1.4467266344011278,0.011176035914255329,1.7424841976970822,0.011860864069875743,0.01161232806569716,1.8150053341349606,0.03178868174877336,0.011598624083091758,1.8129563803547784,0.03599447175846038,4.254073915183871,0.09749580730385111,0.31570163390723194
